# MEAN_SAMPLE_SIZE = 77173
# TOTAL_GENES = 18811
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_oxida...          SET     116     0.098181    0.0076863     0.075794     0.097607 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg_purin...          SET     152    -0.066403   -0.0059451     0.064693      0.84765 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      93     -0.13355   -0.0093673     0.082763      0.94669 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      31   -0.0074068  -0.00030044      0.14649      0.52016 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      28      0.25791    0.0099432      0.15909     0.052501 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      33      0.14408    0.0060295      0.16025      0.18431 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      43     -0.13073   -0.0062436      0.11946       0.8631 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg_valin...1         SET      10    -0.087952   -0.0020274      0.21328      0.65996 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg_lysin...          SET      42      -0.1357   -0.0064052      0.12175      0.86749 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg_argin...          SET      48     0.085015    0.0042891      0.10732      0.21414 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg_histi...          SET      27     0.055347    0.0020954      0.16846      0.37125 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg_tyros...          SET      39      0.26458     0.012035      0.14672     0.035686 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg_pheny...          SET      16      0.48984      0.01428      0.22715      0.01553 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg_trypt...          SET      37    -0.016133  -0.00071481      0.13345      0.54811 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      21     0.076347    0.0025496       0.1863      0.34097 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10    -0.063348   -0.0014602      0.25868      0.59673 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      26     -0.12483   -0.0046378      0.15765      0.78576 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      47    -0.062203   -0.0031054      0.13351      0.67936 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      47    -0.067393   -0.0033646      0.13971      0.68522 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      45     -0.18386    -0.008982      0.11008      0.95255 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      16     -0.19395   -0.0056542       0.1747      0.86653 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29     -0.16139    -0.006332       0.1726      0.82511 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      43    -0.074632   -0.0035643      0.12458      0.72543 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      20      0.41851     0.013639      0.17486    0.0083507 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      21    -0.094332   -0.0031502      0.17097      0.70944 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15    0.0029111   8.2173e-05      0.20698      0.49439 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      25     0.097846    0.0035648      0.17413      0.28709 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      45     -0.21322    -0.010416      0.12985       0.9497 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53    -0.087634   -0.0046452      0.11365      0.77968 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      23     0.054324    0.0018984      0.16091      0.36783 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      75    -0.084892   -0.0053498     0.092885      0.81962 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33     0.068106    0.0028501       0.1406      0.31406 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58    -0.053092   -0.0029436      0.11389      0.67945 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29    -0.038948   -0.0015281      0.16255      0.59468 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19     0.049264    0.0015649      0.18349      0.39417 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      38     -0.11218   -0.0050371      0.13859      0.79087 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25      0.11878    0.0043275      0.18361      0.25885 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13     -0.25975   -0.0068262      0.22112      0.87993 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15     -0.62965    -0.017774      0.21148      0.99854 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39    -0.017329  -0.00078823      0.13754      0.55013 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16     -0.26982   -0.0078659      0.20086       0.9104 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     0.029569    0.0012186      0.15979       0.4266 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      33    -0.063755   -0.0026681      0.14808      0.66659 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17    -0.080572   -0.0024211      0.19699      0.65873 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15     -0.06454   -0.0018218      0.17748      0.64194 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24     -0.15233   -0.0054378      0.16128      0.82753 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16      0.11408    0.0033258       0.1926      0.27683 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11      -0.3948   -0.0095445      0.25212      0.94131 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      61     -0.13715   -0.0077977      0.13504      0.84509 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      38      0.24018     0.010784      0.15194     0.056977 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15      0.15134     0.004272      0.20609      0.23137 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10    -0.058618   -0.0013512      0.24598      0.59418 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21     0.086299    0.0028819      0.17641      0.31235 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11     -0.20386   -0.0049283      0.23153      0.81069 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41     0.041705     0.001945      0.11153      0.35423 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      68   -0.0035075  -0.00021051      0.13055      0.51072 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      68     0.079294     0.004759       0.1298      0.27064 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      50      0.21441      0.01104      0.13801     0.060146 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      21     -0.25702   -0.0085831      0.18727      0.91504 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      43    -0.086478     -0.00413      0.14164      0.72924 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      81    -0.086931   -0.0056922     0.079103       0.8641 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      57    -0.083393   -0.0045836      0.10277      0.79144 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27     -0.14767   -0.0055907      0.13846       0.8569 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      31      0.19234    0.0078019      0.16605      0.12338 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34      0.18273    0.0077619      0.14146     0.098229 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     119    -0.017047   -0.0013516      0.06875      0.59792 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      47      0.18944    0.0094577      0.12127     0.059135 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23      0.18535    0.0064772      0.15445      0.11507 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      67     0.078065    0.0046508      0.10235      0.22281 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32     0.020906   0.00086157      0.14058      0.44089 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      41      0.22912     0.010685      0.12793     0.036663 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22      0.54199     0.018525      0.18542    0.0017352 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28     -0.05966   -0.0023001      0.15803      0.64711 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13    -0.041173    -0.001082      0.22287      0.57328 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     256      0.11296     0.013088     0.052362       0.0155 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      86      0.12887    0.0086939     0.094179     0.085607 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     168   -0.0017756  -0.00016705     0.067822      0.51044 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     249    -0.019348   -0.0022113     0.059543      0.62738 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     181     0.018255    0.0017821      0.06362      0.38708 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76     -0.09439   -0.0059877     0.097466      0.83358 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     252    -0.042877   -0.0049295     0.058139      0.76958 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     121    -0.035458   -0.0028347     0.073631      0.68494 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     107     0.090336    0.0067939     0.080716      0.13154 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67    -0.064219   -0.0038259      0.10038      0.73883 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     125     0.034694    0.0028188      0.07313      0.31761 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36       -0.231    -0.010096      0.13249      0.95937 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      32    0.0030123   0.00012414      0.15869      0.49243 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     117     -0.04042   -0.0031779     0.072707      0.71087 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     178     0.074897    0.0072513     0.063821       0.1203 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76     -0.10078    -0.006393      0.08848      0.87264 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50     0.056385    0.0029032      0.11814      0.31658 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      81    -0.055661   -0.0036447     0.088244       0.7359 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      69      0.11111    0.0067172      0.10221       0.1385 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112     0.094506    0.0072707     0.081167      0.12215 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145     0.046603    0.0040759     0.066976      0.24328 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24      0.13124    0.0046849      0.18076      0.23391 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      47      0.16023    0.0079994      0.11224     0.076723 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      54    -0.040371     -0.00216      0.11303      0.63952 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      84   -0.0084581  -0.00056396     0.092137      0.53657 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     123     0.098041    0.0079021      0.07678      0.10083 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77      0.15939     0.010177     0.089572     0.037594 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     194    -0.042405   -0.0042842     0.060854      0.75704 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      83     0.030592    0.0020276     0.095124      0.37388 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     124    -0.066665   -0.0053948     0.083208      0.78848 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      71     0.086987    0.0053342       0.1056      0.20505 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     129     0.055865    0.0046105     0.078182      0.23745 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      88       0.1484     0.010127     0.094423      0.05802 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      68     0.094304    0.0056598      0.10939      0.19432 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      80     0.073222     0.004765      0.10761      0.24812 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16     -0.52323    -0.015254      0.22173      0.99085 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET     100     0.060681    0.0044127     0.089744      0.24947 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58    -0.071231   -0.0039493      0.10665       0.7479 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      66    -0.079333    -0.004691      0.10542      0.77412 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      51    -0.045828    -0.002383      0.12071       0.6479 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     146     0.040637    0.0035663     0.075566      0.29537 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      81       0.2217     0.014517     0.098518     0.012221 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     130     0.046779    0.0038755     0.079451      0.27801 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     105      0.10201       0.0076     0.079603      0.10003 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      73      0.12169    0.0075661     0.092376     0.093875 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      79    0.0080314   0.00051939     0.092797      0.46552 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      93     0.051721    0.0036277     0.090355      0.28352 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     110     -0.10634   -0.0081082     0.082703      0.90074 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      44     0.024537    0.0011853      0.13178      0.42615 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13      0.34787    0.0091422      0.22543     0.061406 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66      0.16644     0.009842     0.099739     0.047589 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     121    -0.014944   -0.0011947     0.074411      0.57959 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68      0.15053    0.0090341      0.10443     0.074735 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     346   -0.0093649   -0.0012584     0.061033      0.56097 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      48     0.070955    0.0035797      0.13791      0.30345 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     201     0.061527    0.0063261     0.059729      0.15149 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     131     0.025648     0.002133     0.072164      0.36114 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98     0.064131    0.0046169     0.085229       0.2259 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      81      0.06184    0.0040493     0.091283      0.24906 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      99     0.080022    0.0057901     0.084216      0.17101 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      63     -0.13429   -0.0077585      0.10121      0.90771 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      46   -0.0050405  -0.00024896      0.13238      0.51519 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      41     -0.14021   -0.0065387      0.15087      0.82363 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25      0.17764    0.0064719      0.18462      0.16798 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      41    -0.022169   -0.0010339      0.13737       0.5641 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      41      0.12026    0.0056085      0.13094      0.17919 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22    -0.033484   -0.0011444      0.17619      0.57536 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     156      0.12709     0.011526     0.065091      0.02545 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     111     0.068279    0.0052296     0.075654       0.1834 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      52    -0.017275  -0.00090706      0.10805      0.56351 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     169     0.057236    0.0054008     0.060444      0.17184 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      33      0.22562    0.0094419      0.15961     0.078752 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      52     0.078791     0.004137      0.11205      0.24099 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      65     0.086292    0.0050639      0.10253          0.2 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      55      0.15665    0.0084584      0.11777     0.091737 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      65     -0.24636    -0.014457       0.1186       0.9811 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     317     0.055236    0.0071099     0.048033      0.12509 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62      0.21464     0.012303      0.11162      0.02725 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68      0.18818     0.011294      0.10177     0.032236 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67        0.128    0.0076255      0.10183      0.10439 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51       0.2476     0.012875      0.11393     0.014889 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      65     0.095872     0.005626      0.10359      0.17736 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86      0.03907    0.0026358     0.087184      0.32703 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      29      0.32139     0.012609      0.15455     0.018792 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      54     0.029487    0.0015776      0.11316      0.39722 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69      0.17034     0.010298      0.10136     0.046432 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40      0.20732      0.00955      0.12453     0.047991 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72     0.097443    0.0060172     0.095822       0.1546 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55      0.15873    0.0085706      0.11497     0.083712 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      83    -0.029924   -0.0019834     0.087481      0.63385 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      54      0.13268     0.007099      0.11223      0.11856 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      27    -0.084728   -0.0032078      0.18061       0.6805 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      48      -0.1197    -0.006039        0.153      0.78299 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET     103     0.060897    0.0044939     0.097863      0.26689 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      34     -0.15652   -0.0066485      0.16609        0.827 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      36   -0.0061874  -0.00027042      0.15904      0.51552 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      32      0.22156    0.0091307      0.16166     0.085272 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      82    0.0033744   0.00022231     0.095293      0.48588 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      71      0.09397    0.0057624      0.11012      0.19674 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      87     0.046969    0.0031869     0.093579      0.30787 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      66     0.054646    0.0032313      0.11866      0.32258 Curated_gene_sets:kegg_viral_myocarditis
Curated_gene_sets:biocarta_r...14        SET      14     0.070473    0.0019219      0.19725      0.36045 Curated_gene_sets:biocarta_rela_pathway
