# MEAN_SAMPLE_SIZE = 64163
# TOTAL_GENES = 18811
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_purin...          SET     152     -0.15624    -0.013988      0.06665      0.99046 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      93    -0.036593   -0.0025666     0.085284      0.66606 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      31     -0.10996   -0.0044601      0.15094      0.76684 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      28      0.19816    0.0076398      0.16393      0.11337 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      33      0.06515    0.0027264      0.16512      0.34659 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      43     -0.20998    -0.010028      0.12308      0.95598 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg_valin...1         SET      10     0.034277   0.00079011      0.21977      0.43803 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg_lysin...          SET      42     0.067258    0.0031746      0.12545      0.29593 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg_argin...          SET      48    -0.047058   -0.0023742      0.11058      0.66478 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg_histi...          SET      27     -0.30534     -0.01156      0.17356      0.96072 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg_tyros...          SET      39    -0.060387   -0.0027468       0.1512       0.6552 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg_pheny...          SET      16     -0.27878   -0.0081272      0.23407      0.88316 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg_trypt...          SET      37     -0.14198   -0.0062907       0.1375      0.84908 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      21     -0.30014    -0.010023      0.19194      0.94104 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10    -0.042214  -0.00097307      0.26654      0.56292 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      26     -0.29749    -0.011053      0.16243      0.96648 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      47    -0.090669   -0.0045266      0.13756      0.74508 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      47    -0.053579   -0.0026749      0.14396      0.64512 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      45    0.0015907   7.7712e-05      0.11343      0.49441 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      16      0.32163    0.0093764         0.18     0.036992 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29    0.0071412   0.00028018      0.17785      0.48399 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      43     0.043985    0.0021006      0.12837      0.36593 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      20      0.10764    0.0035081       0.1802      0.27514 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      21     -0.26919   -0.0089894      0.17615      0.93676 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15      0.42018     0.011861      0.21324     0.024403 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      25     0.082151     0.002993      0.17942      0.32353 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      45     -0.23293    -0.011379      0.13379      0.95915 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53     0.027043    0.0014335       0.1171      0.40868 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      23    -0.083218   -0.0029082       0.1658      0.69214 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      75     -0.12118   -0.0076365     0.095705      0.89727 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33     0.050245    0.0021027      0.14487      0.36436 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58     -0.11413   -0.0063275      0.11735       0.8346 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29    -0.067132   -0.0026339      0.16748      0.65572 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19      0.13019    0.0041357      0.18907      0.24554 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      38     0.046627    0.0020936       0.1428      0.37202 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25    0.0090855   0.00033101       0.1892      0.48085 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13    -0.086147   -0.0022639      0.22785      0.64731 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15      0.12472    0.0035207      0.21796      0.28359 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39    -0.076162   -0.0034644      0.14172       0.7045 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16    -0.074865   -0.0021825      0.20698      0.64121 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     -0.19833   -0.0081734      0.16464      0.88582 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      33     -0.14935   -0.0062501      0.15258      0.83616 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17     -0.11258    -0.003383      0.20298      0.71043 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15     -0.35168   -0.0099273      0.18285      0.97277 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24     -0.13163   -0.0046987      0.16619      0.78583 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16     -0.23043   -0.0067177      0.19845       0.8772 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11      -0.2444   -0.0059085      0.25979      0.82658 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      61     -0.18636    -0.010595      0.13914      0.90976 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      38     -0.13093   -0.0058789      0.15656      0.79849 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15     0.098916    0.0027922      0.21235      0.32068 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10     -0.50441    -0.011627      0.25342      0.97672 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21    -0.086792   -0.0028984      0.18177      0.68349 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11      0.15433    0.0037309      0.23857      0.25886 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41     0.077932    0.0036345      0.11492      0.24885 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      68     -0.13771   -0.0082649      0.13452      0.84701 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      68     -0.13536   -0.0081238      0.13374      0.84424 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      50     0.021685    0.0011165      0.14221       0.4394 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      21      0.12124    0.0040488      0.19297       0.2649 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      43    -0.098717   -0.0047145      0.14595       0.7506 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      81    -0.048331   -0.0031648     0.081508      0.72339 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      57      0.24129     0.013262      0.10588     0.011343 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      27     -0.17855   -0.0067599      0.14267      0.89462 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      31     0.012623   0.00051204       0.1711      0.47059 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34      0.27612     0.011729      0.14575     0.029089 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     119     0.093746    0.0074328     0.070835     0.092853 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      47    0.0040185   0.00020062      0.12496      0.48717 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23   -0.0035887  -0.00012541      0.15915      0.50899 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      67     -0.02462   -0.0014667      0.10546      0.59229 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32      0.20286    0.0083601      0.14485     0.080687 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      41      0.28364     0.013228      0.13182     0.015714 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22      0.31334      0.01071      0.19108     0.050531 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28     0.091007    0.0035086      0.16283      0.28811 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13     -0.14359   -0.0037736      0.22964      0.73411 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     256     0.066491    0.0077039     0.053958      0.10893 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      86     -0.14487   -0.0097732     0.097039      0.93226 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     168    -0.044093   -0.0041484     0.069882      0.73597 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     249     -0.10252    -0.011717     0.061347      0.95264 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     181     -0.15788    -0.015412     0.065542      0.99199 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76    -0.098587   -0.0062539      0.10043      0.83686 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     252    -0.044718   -0.0051411     0.059905       0.7723 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     121     0.086617    0.0069246     0.075866       0.1268 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     107    -0.020236   -0.0015219     0.083172      0.59611 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67      -0.1146   -0.0068275      0.10343      0.86607 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     125    -0.033982    -0.002761     0.075352      0.67399 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36     0.074305    0.0032476      0.13653      0.29314 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      32     -0.04594   -0.0018932      0.16351      0.61063 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     117    -0.035139   -0.0027627     0.074916      0.68048 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     178     -0.14537    -0.014074     0.065754      0.98647 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76     0.037933    0.0024063     0.091171      0.33868 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50     -0.12204   -0.0062839      0.12172      0.84198 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      81     -0.14448   -0.0094608      0.09092      0.94397 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      69      0.20761     0.012551       0.1053     0.024341 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     112     -0.13277    -0.010214      0.08363       0.9438 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145     -0.11021   -0.0096389     0.069006      0.94487 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24     -0.28064    -0.010018      0.18624      0.93407 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      47    -0.095401   -0.0047628      0.11566      0.79527 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      54      0.10521     0.005629      0.11646      0.18317 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      84       -0.158    -0.010535     0.094929      0.95197 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     123      0.17291     0.013936     0.079106     0.014423 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77    -0.060135   -0.0038396     0.092301      0.74264 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     194     -0.10976     -0.01109     0.062699      0.95999 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      83    -0.089029   -0.0059009     0.098012      0.81815 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     124    -0.016628   -0.0013456     0.085738      0.57689 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      71    0.0014482   8.8806e-05      0.10881      0.49469 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     129    -0.053003   -0.0043743     0.080558      0.74471 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      88     -0.27239    -0.018587     0.097276      0.99744 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      68     -0.18706    -0.011227      0.11271      0.95151 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      80     -0.02974   -0.0019354      0.11088      0.60573 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16     -0.17377   -0.0050659      0.22851       0.7765 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET     100     -0.17243    -0.012539     0.092462      0.96889 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58     -0.23427    -0.012989      0.10987      0.98349 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      66     -0.22336    -0.013207      0.10862      0.98012 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      51     -0.26696    -0.013882      0.12436      0.98408 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     146     0.031531    0.0027671     0.077862      0.34276 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      81      0.05545    0.0036309      0.10153      0.29248 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     130     -0.18232    -0.015104     0.081853      0.98703 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     105     -0.11762   -0.0087632     0.082021      0.92421 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      73     -0.21708    -0.013497     0.095172      0.98872 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      79     -0.10297   -0.0066594     0.095613      0.85925 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      93    -0.072652   -0.0050959     0.093099      0.78241 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     110     0.050383    0.0038416     0.085219      0.27719 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      44    -0.037093   -0.0017919      0.13578      0.60764 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13     -0.20061    -0.005272      0.23229      0.80609 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66   -0.0072375  -0.00042796      0.10278      0.52807 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     121     -0.13109     -0.01048     0.076665      0.95635 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68    -0.050441   -0.0030273       0.1076      0.68038 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     346     -0.18246    -0.024518     0.062872      0.99814 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      48    -0.075992   -0.0038339       0.1421       0.7036 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     201     -0.12436    -0.012786     0.061538      0.97834 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     131     -0.18727    -0.015574     0.074343      0.99411 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98    -0.036482   -0.0026264      0.08782      0.66108 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      81    -0.033632   -0.0022022     0.094057      0.63966 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      99    -0.097559    -0.007059     0.086774      0.86955 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      63     -0.19303    -0.011152      0.10428      0.96792 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      46    -0.087838   -0.0043384       0.1364      0.74019 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      41    -0.092343   -0.0043065      0.15546      0.72375 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25     -0.09189   -0.0033478      0.19024      0.68546 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      41    -0.033956   -0.0015836      0.14155      0.59479 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      41     -0.16297   -0.0076002      0.13491      0.88646 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22    -0.067159   -0.0022954      0.18154      0.64428 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     156     0.055209    0.0050069     0.067075      0.20523 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     111      0.12045    0.0092256     0.077949     0.061151 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      52     0.063355    0.0033265      0.11133      0.28466 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     169     0.023724    0.0022386     0.062282      0.35164 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      33      -0.1041   -0.0043563      0.16447      0.73661 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      52     -0.17427     -0.00915      0.11545       0.9344 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      65     -0.13506   -0.0079257      0.10564      0.89946 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      55     -0.20473    -0.011054      0.12134      0.95421 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      65     -0.12813   -0.0075192      0.12221      0.85277 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     317    -0.074026   -0.0095286     0.049491      0.93263 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62    -0.061935   -0.0035499      0.11502      0.70487 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68     -0.21393     -0.01284      0.10486      0.97933 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67    -0.097263   -0.0057945      0.10492      0.82303 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51     -0.23954    -0.012456       0.1174      0.97934 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      65     -0.21192    -0.012436      0.10673      0.97645 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86     -0.13957   -0.0094154     0.089827      0.93986 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      29    -0.049189   -0.0019299      0.15926      0.62128 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      54    -0.038008   -0.0020335       0.1166      0.62777 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69     -0.18506    -0.011188      0.10444      0.96179 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40       -0.145   -0.0066794      0.12832      0.87074 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72     -0.19172    -0.011839     0.098725      0.97392 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55     -0.15993   -0.0086356      0.11847      0.91149 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      83     -0.10746   -0.0071226     0.090136       0.8834 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      54     -0.17433   -0.0093273      0.11563      0.93416 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      27     0.031495    0.0011924       0.1861      0.43281 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      48    -0.018958  -0.00095643      0.15765      0.54786 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET     103    -0.076461   -0.0056425      0.10084      0.77585 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      34     0.059283    0.0025182      0.17114      0.36452 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      36     0.034759    0.0015192      0.16387      0.41601 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      32     0.044479     0.001833      0.16658      0.39473 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      82    -0.027613   -0.0018192     0.098188      0.61073 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      71    -0.067073   -0.0041131      0.11347      0.72278 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      87    -0.028114   -0.0019076     0.096423      0.61469 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      66    -0.023252   -0.0013749      0.12227      0.57541 Curated_gene_sets:kegg_viral_myocarditis
