GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000049249	1	7979907	8000926	45	6	292485	0.9874	0.16172	TNFRSF9
ENSG00000116288	1	8014351	8045565	64	8	292485	1.1625	0.12251	PARK7
ENSG00000116285	1	8064464	8086368	37	6	292485	0.82153	0.20567	ERRFI1
ENSG00000162426	1	8377886	8404227	85	13	292485	-0.27539	0.60849	SLC45A1
ENSG00000142599	1	8412457	8877702	770	32	292485	1.8596	0.031471	RERE
ENSG00000074800	1	8921061	8939308	31	4	292485	1.6037	0.054391	ENO1
ENSG00000131686	1	9005926	9035151	128	25	292485	1.2836	0.099633	CA6
ENSG00000197241	1	9063359	9086404	57	14	292485	1.2058	0.11395	SLC2A7
ENSG00000142583	1	9095166	9148537	183	22	292485	-0.62045	0.73252	SLC2A5
ENSG00000180758	1	9160364	9189229	78	10	292485	1.451	0.073383	GPR157
ENSG00000049239	1	9294834	9331396	64	16	292485	-0.89465	0.81451	H6PD
ENSG00000171621	1	9352939	9429591	339	58	292485	2.0447	0.020442	SPSB1
ENSG00000171612	1	9599541	9645237	57	6	292485	0.94114	0.17332	SLC25A33
ENSG00000188807	1	9648932	9674935	38	6	292485	0.52047	0.30137	TMEM201
ENSG00000171608	1	9711790	9789172	135	26	292485	-1.17	0.879	PIK3CD
ENSG00000179840	1	9712668	9714644	5	1	292485	-0.43906	0.66969	C1orf200
ENSG00000171603	1	9789084	9884584	146	14	292485	0.31226	0.37742	CLSTN1
ENSG00000178585	1	9908334	9970394	98	16	292485	-0.095416	0.53801	CTNNBIP1
ENSG00000162441	1	9982173	10003465	57	9	292485	-0.32345	0.62682	LZIC
ENSG00000173614	1	10003486	10045559	85	11	292485	0.6164	0.26882	NMNAT1
ENSG00000162444	1	10057264	10076078	41	5	292485	0.41677	0.33842	RBP7
ENSG00000130939	1	10092890	10241297	344	21	292485	0.63586	0.26244	UBE4B
ENSG00000054523	1	10270863	10441661	613	18	292485	1.066	0.14321	KIF1B
ENSG00000142657	1	10458649	10480201	49	8	292485	0.80533	0.21031	PGD
ENSG00000251503	1	10490159	10512210	63	7	292485	-1.2743	0.89872	APITD1-CORT
ENSG00000175279	1	10490159	10512210	63	7	292485	-1.2743	0.89872	APITD1
ENSG00000241563	1	10509776	10511959	3	1	292485	0.20024	0.42065	CORT
ENSG00000160049	1	10516579	10532583	17	3	292485	-0.90157	0.81636	DFFA
ENSG00000142655	1	10532345	10690815	421	34	292485	-1.2306	0.89077	PEX14
ENSG00000130940	1	10696661	10856707	398	70	292485	-0.4075	0.65818	CASZ1
ENSG00000175262	1	11006528	11042094	113	13	292485	1.0997	0.13573	C1orf127
ENSG00000120948	1	11072414	11085796	37	4	292485	-1.0631	0.85613	TARDBP
ENSG00000009724	1	11086580	11107290	60	7	292485	0.0092025	0.49633	MASP2
ENSG00000116649	1	11114641	11120081	9	3	292485	0.45069	0.32611	SRM
ENSG00000171824	1	11126675	11159938	100	5	292485	-0.24826	0.59803	EXOSC10
ENSG00000198793	1	11166592	11322564	355	12	292485	-0.37417	0.64586	MTOR
ENSG00000171819	1	11249398	11256038	15	2	292485	-0.21331	0.58446	ANGPTL7
ENSG00000120942	1	11333263	11356106	37	5	292485	-0.76888	0.77902	UBIAD1
ENSG00000204624	1	11539223	11597641	148	15	292485	0.88887	0.18704	PTCHD2
ENSG00000116661	1	11708424	11715842	7	3	292485	-1.4965	0.93273	FBXO2
ENSG00000132879	1	11714432	11723384	23	6	292485	0.51093	0.3047	FBXO44
ENSG00000116663	1	11724181	11734411	41	9	292485	-0.39343	0.653	FBXO6
ENSG00000116670	1	11734537	11751707	48	8	292485	0.12689	0.44951	MAD2L2
ENSG00000162490	1	11751786	11785914	57	12	292485	0.11865	0.45278	DRAXIN
ENSG00000177674	1	11796141	11814859	48	6	292485	2.3832	0.0085809	AGTRAP
ENSG00000215910	1	11821844	11849642	153	10	292485	-0.32834	0.62867	C1orf167
ENSG00000177000	1	11845780	11866977	93	11	292485	-0.21451	0.58493	MTHFR
ENSG00000011021	1	11866207	11903201	213	14	292485	-0.016266	0.50649	CLCN6
ENSG00000175206	1	11905766	11908402	19	4	292485	0.36186	0.35873	NPPA
ENSG00000120937	1	11917521	11918988	1	1	292485	0.53767	0.2954	NPPB
ENSG00000116685	1	11979648	11986485	21	6	292485	0.92938	0.17635	KIAA2013
ENSG00000083444	1	11994262	12035595	113	11	292485	1.6113	0.053561	PLOD1
ENSG00000116688	1	12040238	12073571	75	7	292485	-0.13368	0.55317	MFN2
ENSG00000116691	1	12079523	12092102	19	4	292485	1.3875	0.082638	MIIP
ENSG00000120949	1	12123434	12204264	155	25	292485	0.72957	0.23283	TNFRSF8
ENSG00000028137	1	12227060	12269285	117	11	292485	-1.9029	0.97147	TNFRSF1B
ENSG00000048707	1	12290124	12572099	555	21	292485	-0.48788	0.68718	VPS13D
ENSG00000162496	1	12627939	12677737	163	28	292485	1.2244	0.11041	DHRS3
ENSG00000204518	1	12704566	12727097	48	4	292485	-0.31737	0.62452	AADACL4
ENSG00000188984	1	12776118	12788726	45	6	292485	-1.2733	0.89854	AADACL3
ENSG00000157330	1	12806163	12823847	53	8	292485	-2.0052	0.97753	C1orf158
ENSG00000116726	1	12834984	12838049	4	2	292485	-1.6746	0.95299	PRAMEF12
ENSG00000179172	1	12907261	12908578	4	1	292485	0.84746	0.19837	HNRNPCL1
ENSG00000120952	1	12916941	12921764	9	1	292485	0.3739	0.35424	PRAMEF2
ENSG00000204488	1	13495254	13498260	1	1	292485	-1.4381	0.9248	PRAMEF16
ENSG00000162494	1	13801445	13840543	129	28	292485	-0.03549	0.51416	LRRC38
ENSG00000162493	1	13909960	13944452	92	20	292485	0.12877	0.44877	PDPN
ENSG00000116731	1	14026693	14151574	398	35	292485	0.76645	0.22171	PRDM2
ENSG00000189337	1	14925200	15444539	1801	219	292485	-0.12632	0.55026	KAZN
ENSG00000171729	1	15479028	15546976	359	32	292485	2.1407	0.016148	TMEM51
ENSG00000204464	1	15490840	15497813	24	5	292485	1.4564	0.072641	C1orf195
ENSG00000142621	1	15573768	15726779	476	50	292485	0.72168	0.23525	FHAD1
ENSG00000142634	1	15736391	15756839	51	15	292485	0.33483	0.36888	EFHD2
ENSG00000162438	1	15764935	15775737	20	6	292485	-0.43089	0.66673	CTRC
ENSG00000142615	1	15783223	15798586	64	9	292485	0.092431	0.46318	CELA2A
ENSG00000215704	1	15792404	15817895	92	13	292485	-0.75643	0.7753	CELA2B
ENSG00000132906	1	15817327	15853029	151	9	292485	-0.80922	0.79081	CASP9
ENSG00000116138	1	15853308	15918874	232	13	292485	-0.71234	0.76187	DNAJC16
ENSG00000116771	1	15898848	15911605	63	6	292485	-0.87819	0.81008	AGMAT
ENSG00000197312	1	15943995	15995539	124	6	292485	0.51847	0.30207	DDI2
ENSG00000215695	1	15986364	15988217	3	2	292485	1.1849	0.11804	RSC1A1
ENSG00000116786	1	16010827	16061264	161	12	292485	0.3001	0.38205	PLEKHM2
ENSG00000162461	1	16062900	16067891	5	1	292485	-0.049032	0.51955	SLC25A34
ENSG00000162460	1	16068917	16074477	17	4	292485	0.55357	0.28994	TMEM82
ENSG00000162458	1	16083102	16113089	71	10	292485	-2.4016	0.99184	FBLIM1
ENSG00000065526	1	16174359	16266955	165	18	292485	-1.9567	0.97481	SPEN
ENSG00000116809	1	16268364	16302627	61	12	292485	-1.5475	0.93912	ZBTB17
ENSG00000183888	1	16330731	16335302	17	5	292485	-0.32351	0.62685	C1orf64
ENSG00000173641	1	16340523	16346089	48	6	292485	-1.5409	0.93833	HSPB7
ENSG00000186510	1	16345370	16360545	90	11	292485	-1.4138	0.92128	CLCNKA
ENSG00000184908	1	16370272	16383803	126	12	292485	-1.4142	0.92134	CLCNKB
ENSG00000185519	1	16384264	16400127	72	9	292485	0.017127	0.49317	FAM131C
ENSG00000142627	1	16450832	16482582	46	12	292485	0.30058	0.38187	EPHA2
ENSG00000142632	1	16524349	16539104	63	5	292485	2.4428	0.0072873	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	292485	1.8401	0.032878	C1orf134
ENSG00000132881	1	16558195	16563657	13	5	292485	2.4533	0.0070783	RSG1
ENSG00000037637	1	16573334	16678949	247	13	292485	1.9325	0.026651	FBXO42
ENSG00000055070	1	16679070	16724640	125	11	292485	1.2827	0.0998	SZRD1
ENSG00000187144	1	16713612	16763919	129	19	292485	0.43558	0.33157	SPATA21
ENSG00000157191	1	16767167	16786573	41	9	292485	1.2098	0.11317	NECAP2
ENSG00000058453	1	17066768	17299474	60	9	292485	-0.41649	0.66147	CROCC
ENSG00000117122	1	17300997	17307330	18	4	292485	0.69065	0.24489	MFAP2
ENSG00000159363	1	17312453	17338423	59	11	292485	-0.021718	0.50866	ATP13A2
ENSG00000117118	1	17345217	17380665	123	11	292485	0.27559	0.39143	SDHB
ENSG00000117115	1	17393256	17445948	260	16	292485	0.46484	0.32102	PADI2
ENSG00000142623	1	17531621	17572500	129	30	292485	-1.3136	0.90551	PADI1
ENSG00000142619	1	17575593	17610728	164	23	292485	0.097669	0.4611	PADI3
ENSG00000159339	1	17634690	17690499	307	25	292485	0.52274	0.30058	PADI4
ENSG00000269468	1	17655507	17676070	154	12	292485	0.083189	0.46685	AC004824.2
ENSG00000179051	1	17733256	17766220	78	11	292485	-0.75324	0.77435	RCC2
ENSG00000074964	1	17866330	18024369	345	37	292485	0.24892	0.40171	ARHGEF10L
ENSG00000117148	1	18081808	18153558	169	19	292485	0.97707	0.16427	ACTL8
ENSG00000117154	1	18434240	18704977	949	130	292485	0.061128	0.47563	IGSF21
ENSG00000179023	1	18807424	18812478	24	5	292485	-0.75315	0.77432	KLHDC7A
ENSG00000009709	1	18957500	19075360	323	58	292485	-0.81387	0.79214	PAX7
ENSG00000179002	1	19166093	19186176	96	16	292485	-1.8144	0.9652	TAS1R2
ENSG00000255275	1	19175767	19247615	288	37	292485	0.20897	0.41724	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	118	15	292485	0.95587	0.16957	ALDH4A1
ENSG00000169991	1	19230775	19283180	155	28	292485	0.34353	0.3656	IFFO2
ENSG00000127481	1	19401000	19536770	281	24	292485	-0.4657	0.67928	UBR4
ENSG00000127463	1	19542158	19578046	111	13	292485	0.17621	0.43007	EMC1
ENSG00000053372	1	19578033	19586622	56	8	292485	-0.19233	0.57626	MRTO4
ENSG00000162482	1	19609052	19615744	30	5	292485	0.38627	0.34965	AKR7A3
ENSG00000053371	1	19630459	19638640	19	7	292485	1.2153	0.11213	AKR7A2
ENSG00000040487	1	19638820	19655794	89	11	292485	0.23354	0.40767	PQLC2
ENSG00000077549	1	19665267	19812066	540	26	292485	-0.76002	0.77638	CAPZB
ENSG00000270136	1	19923473	19984549	178	29	292485	0.37073	0.35542	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	86	14	292485	1.02	0.15387	MINOS1
ENSG00000158747	1	19967048	19984945	48	14	292485	-1.9899	0.9767	NBL1
ENSG00000158748	1	19991780	20006055	40	7	292485	0.38675	0.34947	HTR6
ENSG00000162542	1	20008706	20126438	367	47	292485	0.4237	0.33589	TMCO4
ENSG00000178828	1	20140523	20141771	5	3	292485	-0.80598	0.78987	RNF186
ENSG00000169914	1	20209006	20239438	93	15	292485	-1.3121	0.90526	OTUD3
ENSG00000188784	1	20246502	20250110	19	6	292485	-0.66295	0.74632	PLA2G2E
ENSG00000188257	1	20301925	20306932	11	4	292485	-1.6527	0.95081	PLA2G2A
ENSG00000127472	1	20354672	20417683	223	24	292485	-0.32109	0.62593	PLA2G5
ENSG00000117215	1	20438432	20446050	17	8	292485	-0.31263	0.62272	PLA2G2D
ENSG00000158786	1	20465819	20476879	10	5	292485	0.98066	0.16338	PLA2G2F
ENSG00000187980	1	20487746	20503917	54	11	292485	0.54061	0.29439	PLA2G2C
ENSG00000162543	1	20512578	20522541	6	3	292485	0.16402	0.43486	UBXN10
ENSG00000158816	1	20617412	20681387	252	29	292485	0.17072	0.43222	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	292485	1.7533	0.039778	CAMK2N1
ENSG00000090432	1	20825943	20834654	27	8	292485	0.97458	0.16489	MUL1
ENSG00000183114	1	20878932	20881512	3	1	292485	-0.93145	0.82419	FAM43B
ENSG00000158825	1	20915441	20945401	133	18	292485	2.6756	0.00373	CDA
ENSG00000158828	1	20959948	20978004	83	9	292485	1.7457	0.040432	PINK1
ENSG00000244038	1	20978270	20988000	33	6	292485	0.97133	0.16569	DDOST
ENSG00000117245	1	20990507	21044510	185	40	292485	0.17457	0.43071	KIF17
ENSG00000189410	1	21046225	21059330	37	9	292485	0.14989	0.44042	SH2D5
ENSG00000127483	1	21069154	21113816	106	17	292485	0.95483	0.16983	HP1BP3
ENSG00000075151	1	21132963	21503377	823	27	292485	1.4737	0.070282	EIF4G3
ENSG00000117298	1	21543740	21671997	345	43	292485	0.95816	0.16899	ECE1
ENSG00000142794	1	21766621	21811498	168	12	292485	-0.31219	0.62255	NBPF3
ENSG00000162551	1	21835858	21904905	326	36	292485	-1.3041	0.9039	ALPL
ENSG00000076864	1	21922708	21995801	262	47	292485	0.30125	0.38161	RAP1GAP
ENSG00000090686	1	22004791	22110099	364	33	292485	0.20273	0.41967	USP48
ENSG00000187942	1	22138758	22151714	36	14	292485	1.293	0.097998	LDLRAD2
ENSG00000142798	1	22148738	22263790	365	41	292485	-0.29826	0.61725	HSPG2
ENSG00000219073	1	22303514	22325135	175	17	292485	-0.63829	0.73836	CELA3B
ENSG00000142789	1	22328149	22339032	18	4	292485	-2.1109	0.98261	CELA3A
ENSG00000070831	1	22379120	22419437	117	16	292485	-0.47116	0.68124	CDC42
ENSG00000162552	1	22443798	22470462	96	15	292485	0.077857	0.46897	WNT4
ENSG00000184677	1	22778344	22857650	148	16	292485	0.55856	0.28823	ZBTB40
ENSG00000070886	1	22890057	22930087	174	24	292485	1.0751	0.14117	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	292485	1.5265	0.063447	C1QA
ENSG00000159189	1	22970123	22974603	24	4	292485	0.17423	0.43084	C1QC
ENSG00000173369	1	22979255	22988031	26	5	292485	1.8726	0.03056	C1QB
ENSG00000133216	1	23037332	23241818	352	53	292485	0.69734	0.2428	EPHB2
ENSG00000215906	1	23279536	23291831	33	10	292485	0.5735	0.28315	LACTBL1
ENSG00000227868	1	23337327	23342343	9	3	292485	-0.33384	0.63075	C1orf234
ENSG00000004487	1	23345941	23410182	83	9	292485	-0.95571	0.83039	KDM1A
ENSG00000169641	1	23410516	23504301	183	19	292485	-2.7973	0.99742	LUZP1
ENSG00000179546	1	23516993	23521222	12	3	292485	-1.2609	0.89633	HTR1D
ENSG00000125944	1	23630264	23670829	41	7	292485	-1.1619	0.87736	HNRNPR
ENSG00000125945	1	23685941	23695935	29	5	292485	-1.2242	0.88956	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	292485	-1.8128	0.96507	C1orf213
ENSG00000204219	1	23707554	23751233	117	15	292485	0.91889	0.17908	TCEA3
ENSG00000088280	1	23755056	23811061	134	14	292485	0.34756	0.36408	ASAP3
ENSG00000007968	1	23832922	23857712	53	7	292485	-0.14195	0.55644	E2F2
ENSG00000117318	1	23884409	23886285	5	3	292485	-1.0824	0.86046	ID3
ENSG00000197880	1	23907985	23967058	108	21	292485	-0.00085781	0.50034	MDS2
ENSG00000142676	1	24018269	24022915	7	3	292485	0.83078	0.20305	RPL11
ENSG00000011007	1	24069645	24088549	17	7	292485	-0.091028	0.53626	TCEB3
ENSG00000057757	1	24104895	24114722	9	3	292485	0.018931	0.49245	PITHD1
ENSG00000011009	1	24117460	24122029	4	1	292485	0.83436	0.20204	LYPLA2
ENSG00000117305	1	24128375	24165110	50	4	292485	-0.48791	0.68719	HMGCL
ENSG00000179163	1	24171567	24194784	53	5	292485	0.72573	0.234	FUCA1
ENSG00000188822	1	24197016	24285549	213	11	292485	0.95943	0.16867	CNR2
ENSG00000189266	1	24285599	24289952	4	1	292485	-0.60641	0.72788	PNRC2
ENSG00000188529	1	24291294	24307417	4	1	292485	-0.59852	0.72525	SRSF10
ENSG00000142661	1	24382525	24438665	174	19	292485	2.1012	0.017811	MYOM3
ENSG00000142677	1	24446261	24469611	62	11	292485	-0.31166	0.62235	IL22RA1
ENSG00000185436	1	24480647	24514449	121	15	292485	1.315	0.094257	IFNLR1
ENSG00000158055	1	24645812	24690972	97	20	292485	-0.19131	0.57586	GRHL3
ENSG00000001460	1	24683489	24743424	186	19	292485	-0.91248	0.81924	STPG1
ENSG00000001461	1	24742284	24799466	166	15	292485	-0.78844	0.78478	NIPAL3
ENSG00000117602	1	24829387	24867530	134	15	292485	-0.38785	0.65094	RCAN3
ENSG00000184454	1	24882602	24935819	257	29	292485	0.074109	0.47046	NCMAP
ENSG00000133226	1	24958207	24999758	46	8	292485	0.73755	0.23039	SRRM1
ENSG00000169504	1	25071848	25170815	113	11	292485	1.1108	0.13334	CLIC4
ENSG00000020633	1	25226002	25291612	112	21	292485	-2.6539	0.99602	RUNX3
ENSG00000117614	1	25549170	25558993	7	4	292485	-0.92732	0.82312	SYF2
ENSG00000117616	1	25568728	25664704	33	13	292485	0.044423	0.48228	C1orf63
ENSG00000187010	1	25598884	25656936	7	4	292485	-0.42128	0.66322	RHD
ENSG00000183726	1	25664408	25688852	23	5	292485	1.2187	0.11148	TMEM50A
ENSG00000188672	1	25688740	25756683	88	4	292485	1.4682	0.071028	RHCE
ENSG00000204178	1	25757388	25826700	103	3	292485	1.4194	0.077896	TMEM57
ENSG00000157978	1	25870071	25895377	73	9	292485	0.88538	0.18798	LDLRAP1
ENSG00000117643	1	25943959	26112698	272	27	292485	-0.22959	0.5908	MAN1C1
ENSG00000162430	1	26126667	26144713	43	4	292485	-0.22056	0.58728	SEPN1
ENSG00000255054	1	26137961	26150235	35	4	292485	-0.60168	0.72631	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	36	3	292485	-0.46476	0.67895	MTFR1L
ENSG00000223474	1	26145212	26147288	7	3	292485	-0.5035	0.69269	AL020996.1
ENSG00000127423	1	26158414	26185903	71	2	292485	-0.45205	0.67439	AUNIP
ENSG00000182749	1	26187701	26197744	9	3	292485	-0.039287	0.51567	PAQR7
ENSG00000117632	1	26210672	26233482	33	6	292485	0.11008	0.45617	STMN1
ENSG00000158006	1	26286258	26324648	92	6	292485	0.52028	0.30144	PAFAH2
ENSG00000158008	1	26346375	26362955	24	5	292485	0.7252	0.23417	EXTL1
ENSG00000158014	1	26363743	26372624	20	3	292485	0.50855	0.30553	SLC30A2
ENSG00000158022	1	26377795	26394927	48	7	292485	0.70686	0.23983	TRIM63
ENSG00000175087	1	26437664	26452034	33	2	292485	0.66176	0.25406	PDIK1L
